GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
S395849866,S395849866,GJ-KU-BHU-115
G18455041,S396172287,GJ-KU-BHU-019
S396186842,S396186842,GJ-KU-RAP-052
G18458319,S396251742,GJ-KU-BHU-152
S396252475,S396252475,GJ-KU-BHU-137
S396252616,S396252616,GJ-KU-LIT-023
S396252966,S396252966,GJ-KU-RAP-029
G18457871,S396253374,GJ-KU-ABD-083
G18457551,S396254973,GJ-KU-NAK-068
S396255570,S396255570,GJ-KU-LAK-015
G18458459,S396256692,GJ-KU-BHA-067
G18458318,S396256817,GJ-KU-BHU-152
G18458094,S396257769,GJ-KU-ANJ-027
S396258070,S396258070,GJ-KU-LAK-018
S396258105,S396258105,GJ-KU-LAK-018
G18458742,S396259534,GJ-KU-BHA-029
S396259892,S396259892,GJ-KU-BHA-032
G18458091,S396259997,GJ-KU-BHA-024
S396260150,S396260150,GJ-KU-BHU-013
S396260251,S396260251,GJ-KU-BHA-058
G18457912,S396261284,GJ-KU-NAK-067
S396262712,S396262712,GJ-KU-LIT-010
G18458315,S396263657,GJ-KU-BHU-161
G18458486,S396264595,GJ-KU-RAP-031
G18459154,S396264944,GJ-KU-ABD-001
G18458048,S396265078,GJ-KU-RAN-502
S396265200,S396265200,GJ-KU-BHU-013
G18458061,S396265239,GJ-KU-BHU-017
S396268382,S396268382,GJ-KU-BHU-150
G18458207,S396277235,GJ-KU-BHU-018
G18458272,S396277543,GJ-KU-RAP-013
S396279783,S396279783,GJ-KU-MAN-051
S396280178,S396280178,GJ-KU-BHU-059
G18458383,S396293303,GJ-KU-ANJ-001
G18458740,S396294012,GJ-KU-BHA-022
G18458598,S396294706,GJ-KU-ANJ-005
G18458458,S396296419,GJ-KU-BHA-053
S396302321,S396302321,GJ-KU-LAK-055
S396305123,S396305123,GJ-KU-BHU-120
G18458662,S396306078,GJ-KU-LAK-020
G18458733,S396314413,GJ-KU-ANJ-017
S396332478,S396332478,GJ-KU-LIT-042
S396353824,S396353824,GJ-KU-BHU-086
G18459748,S396359504,GJ-KU-BHU-145
S396362731,S396362731,GJ-KU-BHA-026
S396383069,S396383069,GJ-KU-LIT-025
S396388187,S396388187,GJ-KU-MAN-027
S396391546,S396391546,GJ-KU-LAK-039
S396391561,S396391561,GJ-KU-RAP-033
S396393404,S396393404,GJ-KU-RAN-505
