GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G10879455,S155738788,GJ-KU-BHA-009
G10911571,S155738821,GJ-KU-BHU-097
G11248113,S155739248,GJ-KU-MAN-040
G10890985,S155739256,GJ-KU-BHU-024
G10890983,S155739257,GJ-KU-RAN-501
G10890981,S155739258,GJ-KU-BHU-026
G10890982,S155739259,GJ-KU-BHU-017
G10890991,S155739260,GJ-KU-BHU-030
G10895327,S155739261,GJ-KU-MAN-042
G10894987,S155739262,GJ-KU-ABD-041
G11248114,S155739263,GJ-KU-MAN-052
G10895328,S155739264,GJ-KU-MAN-051
G10895325,S155739265,GJ-KU-MAN-040
G10895073,S155739266,GJ-KU-BHU-136
G10894955,S155739267,GJ-KU-BHU-100
G10892122,S155739268,GJ-KU-BHA-002
G10891937,S155739269,GJ-KU-BHU-036
G10891940,S155739271,GJ-KU-BHU-076
G10891945,S155739272,GJ-KU-BHU-088
G10891941,S155739273,GJ-KU-BHU-065
G10891942,S155739274,GJ-KU-BHU-086
G10891907,S155739275,GJ-KU-BHA-014
G10891066,S155739276,GJ-KU-LAK-039
G10891059,S155739277,GJ-KU-LAK-042
G10891036,S155739280,GJ-KU-LAK-026
G10890962,S155739281,GJ-KU-LAK-024
G10890904,S155739282,GJ-KU-LAK-027
G10891103,S155739283,GJ-KU-RAN-479
G11248115,S155739284,GJ-KU-BHU-128
G11248116,S155739285,GJ-KU-BHU-102
G11248117,S155739286,GJ-KU-BHU-104
G11248118,S155739287,GJ-KU-BHU-089
G10891104,S155739288,GJ-KU-BHA-001
G10891105,S155739289,GJ-KU-BHA-003
G10890591,S155739290,GJ-KU-BHA-067
G10890533,S155739291,GJ-KU-BHA-043
G10891097,S155739293,GJ-KU-BHU-047
G10887362,S155739294,GJ-KU-BHA-053
G10910210,S155739295,GJ-KU-LIT-012
G10886449,S155739296,GJ-KU-LAK-031
G10886450,S155739297,GJ-KU-LAK-046
G10886451,S155739298,GJ-KU-LAK-044
G10886452,S155739299,GJ-KU-LAK-055
G10886453,S155739300,GJ-KU-ABD-001
G10886454,S155739301,GJ-KU-ABD-010
G10886398,S155739302,GJ-KU-LAK-074
G10889170,S155739303,GJ-KU-BHU-130
G10889171,S155739304,GJ-KU-BHU-141
G10889172,S155739305,GJ-KU-NAK-068
G10885050,S155739306,GJ-KU-ABD-058
G10884652,S155739307,GJ-KU-RAP-024
G10884831,S155739308,GJ-KU-MUN-026
G10884778,S155739309,GJ-KU-BHA-063
G10884799,S155739310,GJ-KU-RAN-519
G10884832,S155739311,GJ-KU-MAN-046
G10889804,S155739312,GJ-KU-RAN-268
G10884777,S155739313,GJ-KU-RAP-005
G10884697,S155739314,GJ-KU-RAP-013
G10885640,S155739315,GJ-KU-BHU-122
G10884653,S155739316,GJ-KU-RAP-002
G10884645,S155739317,GJ-KU-RAP-007
G10885642,S155739318,GJ-KU-BHU-137
G10885643,S155739319,GJ-KU-BHU-139
G10885780,S155739320,GJ-KU-RAN-505
G10884689,S155739321,GJ-KU-LAK-011
G10884690,S155739323,GJ-KU-LAK-005
G11190393,S155739324,GJ-KU-BHU-134
G11248119,S155739325,GJ-KU-RAP-050
G11248120,S155739326,GJ-KU-RAP-029
G11248121,S155739327,GJ-KU-RAP-074
G10889810,S155739328,GJ-KU-RAN-323
G11248122,S155739329,GJ-KU-RAP-064
G10910211,S155739330,GJ-KU-BHU-059
G11248123,S155739331,GJ-KU-RAP-042
G11248124,S155739333,GJ-KU-RAN-542
G10910213,S155739334,GJ-KU-LIT-010
G10910217,S155739335,GJ-KU-NAK-027
G10910218,S155739336,GJ-KU-NAK-040
G10910219,S155739337,GJ-KU-LIT-039
G10894024,S155739338,GJ-KU-NAK-051
G10884433,S155739339,GJ-KU-ABD-025
G10884434,S155739341,GJ-KU-ABD-047
G10884090,S155739342,GJ-KU-BHU-107
G10884097,S155739343,GJ-KU-NAK-038
G10880025,S155739344,GJ-KU-NAK-048
G10880028,S155739345,GJ-KU-NAK-036
G10879997,S155739346,GJ-KU-NAK-023
G10880004,S155739347,GJ-KU-NAK-034
G10879999,S155739348,GJ-KU-NAK-046
G11190394,S155739349,GJ-KU-NAK-021
G10889805,S155739350,GJ-KU-RAN-325
G10884624,S155739351,GJ-KU-ANJ-017
G10884625,S155739352,GJ-KU-ANJ-025
G10884626,S155739354,GJ-KU-ANJ-030
G10883970,S155739355,GJ-KU-ABD-087
G10884021,S155739356,GJ-KU-BHU-006
G10894025,S155739357,GJ-KU-ABD-019
G10884022,S155739358,GJ-KU-BHU-011
G10884023,S155739359,GJ-KU-RAN-506
G10884024,S155739360,GJ-KU-BHU-013
G10884025,S155739361,GJ-KU-BHU-022
G10883946,S155739362,GJ-KU-BHA-061
G10884026,S155739363,GJ-KU-RAN-531
G10889806,S155739364,GJ-KU-BHU-003
G11248125,S155739365,GJ-KU-BHU-170
G10894888,S155739366,GJ-KU-ANJ-027
G10894889,S155739367,GJ-KU-ANJ-021
G10883863,S155739368,GJ-KU-BHU-150
G10884076,S155739369,GJ-KU-BHU-147
G11190395,S155739370,GJ-KU-NAK-012
G11190397,S155739371,GJ-KU-NAK-005
G10883846,S155739372,GJ-KU-NAK-067
G10883961,S155739373,GJ-KU-NAK-010
G10883773,S155739374,GJ-KU-ABD-051
G10883962,S155739375,GJ-KU-NAK-003
G10883732,S155739376,GJ-KU-RAP-099
G10884681,S155739377,GJ-KU-LAK-009
G10894027,S155739378,GJ-KU-NAK-030
G10883858,S155739379,GJ-KU-NAK-060
G10883859,S155739380,GJ-KU-ABD-067
G10889807,S155739382,GJ-KU-BHU-001
