GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G18451276,S395849416,GJ-KU-BHU-114
S395849866,S395849866,GJ-KU-BHU-115
G18452748,S395991655,GJ-KU-LIT-008
G18455041,S396172287,GJ-KU-BHU-019
G18455049,S396172439,GJ-KU-BHU-019
S396186767,S396186767,GJ-KU-RAP-051
S396186842,S396186842,GJ-KU-RAP-052
S396235780,S396235780,GJ-KU-RAP-012
G18457028,S396243664,GJ-KU-RAP-092
S396244442,S396244442,GJ-KU-LAK-035
G18457422,S396244833,GJ-KU-ABD-083
G18457055,S396244888,GJ-KU-RAP-094
S396246259,S396246259,GJ-KU-BHA-003
G18457156,S396247241,GJ-KU-RAP-089
G18457222,S396247940,GJ-KU-MAN-022
G18457223,S396248043,GJ-KU-MAN-022
S396248318,S396248318,GJ-KU-BHU-040
S396249140,S396249140,GJ-KU-MAN-013
S396249312,S396249312,GJ-KU-MAN-013
S396249687,S396249687,GJ-KU-MAN-006
S396250334,S396250334,GJ-KU-BHA-008
S396250366,S396250366,GJ-KU-BHA-008
S396250397,S396250397,GJ-KU-BHA-009
S396250431,S396250431,GJ-KU-BHA-009
S396250869,S396250869,GJ-KU-BHU-040
S396251742,S396251742,GJ-KU-BHU-152
S396252475,S396252475,GJ-KU-BHU-137
S396252575,S396252575,GJ-KU-BHA-055
S396252616,S396252616,GJ-KU-LIT-023
S396252683,S396252683,GJ-KU-LIT-022
S396252966,S396252966,GJ-KU-RAP-029
S396252984,S396252984,GJ-KU-BHU-137
S396253228,S396253228,GJ-KU-BHU-137
S396253374,S396253374,GJ-KU-ABD-083
G18457565,S396253957,GJ-KU-ANJ-026
S396254257,S396254257,GJ-KU-BHU-137
S396254348,S396254348,GJ-KU-ABD-084
S396254362,S396254362,GJ-KU-MAN-042
S396254526,S396254526,GJ-KU-BHA-048
S396254528,S396254528,GJ-KU-BHU-006
S396254599,S396254599,GJ-KU-MAN-042
S396254721,S396254721,GJ-KU-ABD-090
S396254841,S396254841,GJ-KU-BHU-005
S396254858,S396254858,GJ-KU-MAN-009
G18457551,S396254973,GJ-KU-NAK-068
S396255071,S396255071,GJ-KU-BHU-150
S396255290,S396255290,GJ-KU-ABD-073
S396255292,S396255292,GJ-KU-BHU-150
S396255308,S396255308,GJ-KU-ANJ-026
S396255395,S396255395,GJ-KU-BHU-150
S396255570,S396255570,GJ-KU-LAK-015
S396255690,S396255690,GJ-KU-BHU-150
S396256241,S396256241,GJ-KU-BHU-150
S396256323,S396256323,GJ-KU-MAN-001
S396256369,S396256369,GJ-KU-RAP-029
S396256402,S396256402,GJ-KU-NAK-067
S396256692,S396256692,GJ-KU-BHA-067
S396256817,S396256817,GJ-KU-BHU-152
S396257285,S396257285,GJ-KU-LAK-017
S396257365,S396257365,GJ-KU-BHU-150
S396257445,S396257445,GJ-KU-LAK-017
S396257599,S396257599,GJ-KU-LAK-017
S396257769,S396257769,GJ-KU-ANJ-027
S396257790,S396257790,GJ-KU-LAK-045
S396257807,S396257807,GJ-KU-LAK-017
S396257853,S396257853,GJ-KU-BHU-166
