GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G18451276,S395849416,GJ-KU-BHU-114
G18452748,S395991655,GJ-KU-LIT-008
G18455049,S396172439,GJ-KU-BHU-019
S396186767,S396186767,GJ-KU-RAP-051
S396235780,S396235780,GJ-KU-RAP-012
G18457028,S396243664,GJ-KU-RAP-092
S396244442,S396244442,GJ-KU-LAK-035
G18457422,S396244833,GJ-KU-ABD-083
G18457055,S396244888,GJ-KU-RAP-094
S396246259,S396246259,GJ-KU-BHA-003
G18457156,S396247241,GJ-KU-RAP-089
G18457222,S396247940,GJ-KU-MAN-022
G18457223,S396248043,GJ-KU-MAN-022
S396248318,S396248318,GJ-KU-BHU-040
S396249140,S396249140,GJ-KU-MAN-013
G18458181,S396249312,GJ-KU-MAN-013
G18458259,S396249687,GJ-KU-MAN-006
S396250334,S396250334,GJ-KU-BHA-008
S396250366,S396250366,GJ-KU-BHA-008
S396250397,S396250397,GJ-KU-BHA-009
S396250431,S396250431,GJ-KU-BHA-009
S396250869,S396250869,GJ-KU-BHU-040
G18458097,S396252575,GJ-KU-BHA-055
S396252683,S396252683,GJ-KU-LIT-022
S396252984,S396252984,GJ-KU-BHU-137
S396253228,S396253228,GJ-KU-BHU-137
G18457565,S396253957,GJ-KU-ANJ-026
S396254257,S396254257,GJ-KU-BHU-137
G18457875,S396254348,GJ-KU-ABD-084
S396254362,S396254362,GJ-KU-MAN-042
G18458205,S396254526,GJ-KU-BHA-048
S396254528,S396254528,GJ-KU-BHU-006
S396254599,S396254599,GJ-KU-MAN-042
G18457874,S396254721,GJ-KU-ABD-090
S396254841,S396254841,GJ-KU-BHU-005
G18457873,S396254858,GJ-KU-MAN-009
S396255071,S396255071,GJ-KU-BHU-150
G18457888,S396255290,GJ-KU-ABD-073
S396255292,S396255292,GJ-KU-BHU-150
G18458738,S396255308,GJ-KU-ANJ-026
S396255395,S396255395,GJ-KU-BHU-150
S396255690,S396255690,GJ-KU-BHU-150
S396256241,S396256241,GJ-KU-BHU-150
G18457901,S396256323,GJ-KU-MAN-001
G18458489,S396256369,GJ-KU-RAP-029
G18457907,S396256402,GJ-KU-NAK-067
S396257285,S396257285,GJ-KU-LAK-017
S396257365,S396257365,GJ-KU-BHU-150
S396257445,S396257445,GJ-KU-LAK-017
S396257599,S396257599,GJ-KU-LAK-017
S396257790,S396257790,GJ-KU-LAK-045
S396257807,S396257807,GJ-KU-LAK-017
G18458093,S396257853,GJ-KU-BHU-166
S396258261,S396258261,GJ-KU-LAK-045
S396258314,S396258314,GJ-KU-LAK-018
G18458488,S396258343,GJ-KU-RAP-030
G18457738,S396259275,GJ-KU-RAP-096
S396259341,S396259341,GJ-KU-BHU-026
G18457872,S396260701,GJ-KU-MAN-009
G18457886,S396260931,GJ-KU-ABD-065
S396261124,S396261124,GJ-KU-BHU-026
S396261149,S396261149,GJ-KU-BHU-040
S396261259,S396261259,GJ-KU-ABD-082
G18457898,S396261427,GJ-KU-NAK-067
S396262609,S396262609,GJ-KU-MAN-050
G18457945,S396262885,GJ-KU-ABD-065
G18458176,S396262972,GJ-KU-NAK-066
